년도별 산불통계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,log,log_scale,산,차선,최대차선,워드1,워드2,워드3,워드4,워드5,,,
2022,2,22,18:15,화,2022,2,23,16:00,전북,전북,남원,산내,대정,입,기타(직접입력),입산자실화추정,16.5,2.803360381,7.408530567,전북 남원시 산내면 대정리 산 18,1,,아스팔트,전신주,초화류 관리X,소나무,건물,,,
2022,3,4,21:54,금,2022,3,5,9:03,경남,경남,함양,마천,가흥,입,기타(직접입력),입산자실화,16.3,2.791165108,7.396335294,경남 함양군 마천면 가흥리 산 19-3,2,-1,아스팔트,전신주,경계석,논밭,개천,,,
2018,4,3,13:45,화,2018,4,3,22:30,경북,경북,고령,개진,구곡,쓰,기타(직접입력),쓰레기소각,16.1,2.778819272,7.383989458,경북 고령군 개진면 구곡1리 대나무 숲,1,,아스팔트,전신주,논밭,태양광 패널,대나무,,,
2013,3,9,15:41,토,2013,3,10,10:10,경북,경북,봉화,재산,상,담,기타(직접입력),담뱃불실화,15,2.708050201,7.313220387,경북 봉화군 재산면 상리 산135,1,,아스팔트,전신주,가설건축물,건물,태양광 패널,,,
2016,4,1,12:45,금,2016,4,1,20:20,강원,강원,양구,남,송우,입,기타(직접입력),입산자 실화추정,14.4,2.667228207,7.272398393,강원 양구군 국토정중면 송우리 비봉산 중턱,2,,아스팔트,전신주,자전거도로,건물,개천,,,
2014,4,24,15:19,목,2014,4,24,22:30,경북,경북,영주,이산,지동,기,기타(직접입력),육묘장 전기누전,14.3,2.660259537,7.265429723,경북 영주시 이산면 지동리,1,-2,아스팔트,전신주,초화류 관리X,논밭,가설건축물,,,
2022,1,10,21:01,월,2022,1,11,17:30,경북,경북,영주,평은,오운,입,기타(직접입력),입산자실화,14.1,2.646174797,7.251344983,경북 영주시 평은면 오운리 산 312,1,,콘크리트,흙길,소나무,초화류 관리X,,,,
2013,5,8,23:00,수,2013,5,9,8:55,남부,경북,영덕,남정,사암,입,기타(직접입력),입산자실화,13.8,2.624668592,7.229838778,경북 영덕군 남정면 사암리,2,-1,아스팔트,전신주,안전망,소나무,건물,,,
2020,3,25,14:03,수,2020,3,25,17:55,경북,경북,안동,도산,문곡,기,기타(직접입력),양봉장불씨부주의,13.2,2.58021683,7.185387016,경북 안동시 도산면 운곡리 7번지,1,,콘크리트,전신주,가설건축물,초화류 관리X,논밭,,,
2018,4,19,19:30,목,2018,4,20,7:00,동부,강원,양양,현남,정자,미상,기타(직접입력),원인미상,13.08,2.571084346,7.176254532,강원 양양군 현남면 정자리,1,-2,아스팔트,전신주,논밭,초화류 관리X,소나무,,,
2022,4,10,12:41,일,2022,4,11,17:00,강원,강원,인제,북,월학,미상,기타(직접입력),미상,13,2.564949357,7.170119543,강원 인제군 북면 월학리 582-7,2,,아스팔트,전신주,가로등,인도,논밭,,,
2018,2,10,7:20,토,2018,2,10,15:25,경북,경북,영덕,창수,인량,미상,기타(직접입력),원인미상,13,2.564949357,7.170119543,경북 영덕군 창수면 인량리,1,-2,콘크리트,전신주,논밭,건물,가설건축물,,,
2016,5,22,11:55,일,2016,5,23,4:00,중부,충북,단양,영춘,사지원,입,기타(직접입력),산나물 채취자 담뱃불 추정,13,2.564949357,7.170119543,충북 단양군 영춘면 사지원리 10-2,1,-2,아스팔트,전신주,가설건축물,건물,논밭,,,
2022,4,20,13:00,수,2022,4,20,20:00,강원,강원,영월,북,마차,기,작업장실화,연소시험으로인한 불씨,12.51,2.526528324,7.13169851,강원 영월군 북면 마차리 산 5-1,2,,아스팔트,전신주,논밭,소나무,안전망,,,
2022,2,10,15:12,목,2022,2,11,0:30,대구,대구,동,,둔산,화재,기타(직접입력),비닐하우스화재(양봉장작업),12.4,2.517696473,7.122866659,대구 동구 둔산동 산 180,1,-2,아스팔트,전신주,안전망,소나무,건물,,,
2018,3,28,12:36,수,2018,3,28,14:40,남부,경북,영양,청기,행화,기,기타(직접입력),야외아궁이불씨비산화,12.4,2.517696473,7.122866659,경북 영양군 청기면 행화리 덕산봉 정상,1,-2,아스팔트,전신주,논밭,건물,가설건축물,,,
2020,4,8,12:30,수,2020,4,8,15:00,강원,강원,영월,주천,도천,작업,작업장실화,산업현장실화(용접불꽃),11.91,2.477378383,7.082548569,강원 영월군 주천면 도천리,2,,아스팔트,전신주,논밭,가설건축물,경계석,,,
2015,3,28,14:40,토,2015,3,28,22:30,동부,강원,평창,미탄,평안,미상,기타(직접입력),원인미상,11.1,2.406945108,7.012115294,강원 평창군 미탄면 평안리,1,,콘크리트,전신주,건물,소나무,가설건축물,,,
2022,3,6,15:45,일,2022,3,7,2:00,울산,울산,울주,언양,직동,입,기타(직접입력),입산자실화,11,2.397895273,7.003065459,울산 울주군 언양읍 직동리 산17-6,1,-4,아스팔트,전신주,가설건축물,건물,논밭,,,
2014,3,8,16:30,토,2014,3,9,17:00,경북,경북,성주,수륜,수륜,입,기타(직접입력),입산자 실화추정,11,2.397895273,7.003065459,경북 성주군 수륜면 수륜리 산75~79 (토실마을),1,,아스팔트,전신주,건물,논밭,가설건축물,,,
2015,3,22,16:04,일,2015,3,22,21:40,강원,강원,홍천,두촌,천현,작업,작업장실화,용접작업 비화,10.8,2.379546134,6.98471632,강원 홍천군 두촌면 천현리,2,-4,콘크리트,전신주,가설건축물,소나무,논밭,,,
2021,3,31,15:38,수,2021,4,1,12:54,강원,강원,정선,신동,운치,작업,기타(직접입력),예초기불씨,10.7,2.370243741,6.975413927,강원 정선군 신동읍 운치리 883-1번지,1,-2,콘크리트,전신주,논밭,가설건축물,수로,,,
2020,3,23,13:09,월,2020,3,23,21:00,울산,울산,울주,두서,전읍,쓰,기타(직접입력),쓰레기소각,10.59,2.35991016,6.965080346,울산 울주군 두서면 전읍리 산3,2,,아스팔트,전신주,초화류 관리X,건물,논밭,,,
2021,1,6,6:14,수,2021,1,6,21:00,경북,경북,영덕,창수,오촌,방화,방화,방화,10.24,2.32630162,6.931471806,경북 영덕군 창수면 오촌리 산1-1,1,-2,아스팔트,전신주,과수원,건물,태양광 패널,,,
2022,2,24,21:04,목,2022,2,25,7:54,경남,경남,창원 마산합포,진전,근곡,작업,작업장실화,작업자실화추정,10.2,2.32238772,6.927557906,경남 창원 마산합포구 진전면 근곡리 109-1,1,,콘크리트,전신주,건물,저수지,초화류 관리X,,,
2021,12,25,15:24,토,2021,12,26,17:10,전남,전남,순천,서,판교,미상,기타(직접입력),미상,10,2.302585093,6.907755279,전남 순천시 서면 판교리 산102-1,1,,흙,,축대,건물,가설건축물,,,
2021,4,29,14:30,목,2021,4,30,12:00,전북,전북,무주,무풍,금평,미상,기타(직접입력),미상,10,2.302585093,6.907755279,전북 무주군 무풍면 금평리 산 15-1,1,-2,아스팔트,전신주,건물,과수원,개천,,,
2015,3,10,13:40,화,2015,3,10,23:00,경북,경북,경주,강동,안계,기,기타(직접입력),군부대 실화(신호탄 발화),10,2.302585093,6.907755279,경북 경주시 강동면 안계리,1,-2,아스팔트,전신주,초화류 관리X,논밭,저수지,,,
2013,3,10,13:05,일,2013,3,10,19:00,경남,경남,거창,위천,당산,쓰,기타(직접입력),쓰레기소각,10,2.302585093,6.907755279,경남 거창군 위천면 당산리,1,-2,아스팔트,전신주,논밭,과수원,건물,,,
